CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
485,44.3799982,-73.2581033,59.28,0.119999997318,STABILIZE,4,12
485,44.3799978,-73.2581035,59.28,0.0399999991059,STABILIZE,4,12
485,44.3799974,-73.2581043,59.28,0.179999992251,STABILIZE,4,12
485,44.3799965,-73.2581053,59.26,0.0799999982119,STABILIZE,4,12
486,44.3799953,-73.2581065,59.25,0.0399999991059,STABILIZE,4,12
486,44.3799948,-73.2581081,59.24,0.319999992847,STABILIZE,4,12
486,44.3799945,-73.2581084,59.24,0.109999999404,STABILIZE,4,12
486,44.3799946,-73.2581084,59.25,0.0399999991059,STABILIZE,4,12
486,44.3799947,-73.2581092,59.25,0.109999999404,STABILIZE,4,12
486,44.3799943,-73.2581093,59.23,0.0999999940395,STABILIZE,4,12
486,44.3799939,-73.2581095,59.22,0.0499999970198,STABILIZE,4,12
486,44.3799938,-73.2581097,59.22,0.0499999970198,STABILIZE,4,12
486,44.3799936,-73.2581097,59.22,0.00999999977648,STABILIZE,4,12
486,44.3799935,-73.2581102,59.2,0.0799999982119,STABILIZE,4,12
486,44.3799932,-73.2581106,59.21,0.129999995232,STABILIZE,4,12
486,44.3799928,-73.2581114,59.21,0.119999997318,STABILIZE,4,12
486,44.3799921,-73.258113,59.17,0.140000000596,STABILIZE,4,12
486,44.3799923,-73.2581127,59.17,0.0799999982119,STABILIZE,4,11
486,44.3799925,-73.2581125,59.16,0.119999997318,STABILIZE,4,11
486,44.3799923,-73.2581123,59.15,0.119999997318,STABILIZE,4,11
486,44.379993,-73.2581119,59.18,0.070000000298,STABILIZE,4,11
486,44.3799937,-73.2581116,59.18,0.119999997318,STABILIZE,4,11
486,44.379994,-73.2581121,59.16,0.0399999991059,STABILIZE,4,11
486,44.3799941,-73.2581129,59.13,0.239999994636,STABILIZE,4,11
486,44.3799938,-73.2581142,59.13,0.0799999982119,STABILIZE,4,11
486,44.379994,-73.2581146,59.12,0.259999990463,STABILIZE,4,12
486,44.3799938,-73.2581159,59.13,0.109999999404,STABILIZE,4,12
486,44.3799935,-73.2581164,59.1,0.0399999991059,STABILIZE,4,12
486,44.3799935,-73.2581169,59.1,0.070000000298,STABILIZE,4,12
486,44.3799933,-73.2581173,59.08,0.109999999404,STABILIZE,4,12
486,44.3799932,-73.2581181,59.07,0.119999997318,STABILIZE,4,12
486,44.3799928,-73.2581182,59.1,0.0799999982119,STABILIZE,4,12
486,44.3799926,-73.2581184,59.12,0.119999997318,STABILIZE,4,12
486,44.3799923,-73.2581187,59.13,0.0899999961257,STABILIZE,4,12
486,44.3799922,-73.2581186,59.11,0.0899999961257,STABILIZE,4,12
486,44.3799924,-73.2581185,59.12,0.189999997616,STABILIZE,4,12
486,44.3799923,-73.2581188,59.13,0.0399999991059,STABILIZE,4,12
486,44.3799929,-73.2581186,59.13,0.109999999404,STABILIZE,4,12
486,44.3799935,-73.2581185,59.09,0.0599999986589,STABILIZE,4,12
486,44.3799941,-73.2581184,59.06,0.0599999986589,STABILIZE,4,12
486,44.3799943,-73.2581187,59.1,0.070000000298,STABILIZE,4,12
486,44.3799944,-73.2581185,59.1,0.129999995232,STABILIZE,4,12
486,44.3799947,-73.2581179,59.08,0.070000000298,STABILIZE,4,12
486,44.3799949,-73.2581182,59.07,0.209999993443,STABILIZE,4,12
486,44.3799949,-73.258119,59.08,0.170000001788,STABILIZE,4,12
486,44.3799954,-73.2581191,59.08,0.179999992251,STABILIZE,4,12
486,44.3799963,-73.2581173,59.07,0.149999991059,STABILIZE,4,12
486,44.379997,-73.2581168,59.07,0.0399999991059,STABILIZE,4,12
486,44.3799974,-73.2581165,59.07,0.0499999970198,STABILIZE,4,12
486,44.3799978,-73.258116,59.07,0.0499999970198,STABILIZE,4,12
486,44.3799978,-73.2581156,59.07,0.0399999991059,STABILIZE,4,12
486,44.3799978,-73.2581152,59.07,0.129999995232,STABILIZE,4,12
486,44.3799974,-73.2581153,59.1,0.199999988079,STABILIZE,4,12
486,44.3799972,-73.2581155,59.09,0.119999997318,STABILIZE,4,12
486,44.379997,-73.2581158,59.09,0.129999995232,STABILIZE,4,12
486,44.3799966,-73.258116,59.09,0.070000000298,STABILIZE,4,12
486,44.3799964,-73.2581166,59.11,0.179999992251,STABILIZE,4,12
486,44.3799967,-73.2581172,59.12,0.329999983311,STABILIZE,4,12
486,44.3799963,-73.2581175,59.13,0.119999997318,STABILIZE,4,12
486,44.3799962,-73.2581176,59.14,0.199999988079,STABILIZE,4,12
485,44.3799961,-73.2581171,59.12,0.149999991059,STABILIZE,4,12
485,44.3799959,-73.2581173,59.12,0.0899999961257,STABILIZE,4,12
485,44.3799955,-73.2581185,59.1,0.219999998808,STABILIZE,4,12
485,44.3799949,-73.2581195,59.09,0.219999998808,STABILIZE,4,12
485,44.3799947,-73.25812,59.07,0.170000001788,STABILIZE,4,12
485,44.3799948,-73.2581202,59.07,0.140000000596,STABILIZE,4,12
485,44.3799947,-73.2581203,59.06,0.189999997616,STABILIZE,4,12
485,44.3799945,-73.258121,59.05,0.179999992251,STABILIZE,4,12
485,44.3799938,-73.2581219,59.05,0.159999996424,STABILIZE,4,12
485,44.3799932,-73.2581224,59.03,0.280000001192,STABILIZE,4,11
485,44.3799933,-73.2581211,59.03,0.0799999982119,STABILIZE,4,11
485,44.3799932,-73.2581212,59.04,0.119999997318,STABILIZE,4,11
485,44.3799938,-73.2581205,59.03,0.0899999961257,STABILIZE,4,11
485,44.3799945,-73.2581205,59.06,0.0499999970198,STABILIZE,4,11
485,44.3799938,-73.2581207,59.07,0.219999998808,STABILIZE,4,11
485,44.3799932,-73.2581215,59.04,0.170000001788,STABILIZE,4,11
485,44.3799926,-73.2581226,59.03,0.129999995232,STABILIZE,4,11
485,44.3799916,-73.2581242,59.01,0.129999995232,STABILIZE,4,11
485,44.3799903,-73.2581272,59.07,0.189999997616,STABILIZE,4,11
485,44.3799889,-73.2581306,59.16,0.469999998808,STABILIZE,4,11
485,44.3799893,-73.2581336,59.14,1.25,STABILIZE,4,11
485,44.3799904,-73.2581373,59.12,0.179999992251,STABILIZE,4,11
486,44.3799917,-73.2581389,59.12,0.359999984503,STABILIZE,4,11
486,44.3799928,-73.2581403,59.11,0.0899999961257,STABILIZE,4,11
486,44.3799933,-73.2581391,59.11,0.289999991655,STABILIZE,4,11
486,44.3799933,-73.2581374,59.04,0.509999990463,STABILIZE,4,10
486,44.3799951,-73.2581345,58.96,0.199999988079,STABILIZE,4,11
486,44.3799951,-73.2581345,58.92,0.170000001788,STABILIZE,4,12
486,44.3799951,-73.2581361,58.94,0.329999983311,STABILIZE,4,12
486,44.3799949,-73.2581366,58.95,0.0599999986589,STABILIZE,4,12
486,44.3799941,-73.2581379,58.97,0.170000001788,STABILIZE,4,12
486,44.3799941,-73.2581372,58.99,0.149999991059,STABILIZE,4,12
486,44.3799938,-73.2581361,59.01,0.129999995232,STABILIZE,4,12
486,44.3799934,-73.2581353,59.03,0.109999999404,STABILIZE,4,11
486,44.3799935,-73.2581339,59.04,0.149999991059,STABILIZE,4,11
486,44.379993,-73.2581339,59.05,0.189999997616,STABILIZE,4,11
486,44.3799909,-73.2581343,59.09,0.340000003576,STABILIZE,4,11
487,44.3799907,-73.2581344,59.09,0.179999992251,STABILIZE,4,11
487,44.3799904,-73.2581346,59.09,0.070000000298,STABILIZE,4,11
487,44.37999,-73.2581353,59.11,0.140000000596,STABILIZE,4,11
487,44.3799899,-73.2581348,59.09,0.119999997318,STABILIZE,4,11
487,44.3799892,-73.2581345,59.07,0.0499999970198,STABILIZE,4,11
487,44.3799891,-73.2581353,59.09,0.179999992251,STABILIZE,4,11
487,44.3799885,-73.2581354,59.1,0.119999997318,STABILIZE,4,11
487,44.3799879,-73.258136,59.09,0.170000001788,STABILIZE,4,11
487,44.3799874,-73.2581364,59.09,0.159999996424,STABILIZE,4,11
487,44.3799871,-73.2581365,59.05,0.25,STABILIZE,4,11
487,44.3799861,-73.2581356,59.02,0.0599999986589,STABILIZE,4,11
487,44.3799858,-73.2581349,58.99,0.0499999970198,STABILIZE,4,11
487,44.3799855,-73.2581344,58.96,0.0899999961257,STABILIZE,4,11
487,44.3799843,-73.2581318,58.97,0.0899999961257,STABILIZE,4,11
487,44.379984,-73.2581311,58.96,0.129999995232,STABILIZE,4,11
488,44.3799832,-73.2581299,58.96,0.0499999970198,STABILIZE,4,11
488,44.3799832,-73.258129,58.95,0.109999999404,STABILIZE,4,11
488,44.3799826,-73.258129,58.93,0.0499999970198,STABILIZE,4,11
488,44.3799824,-73.258128,58.9,0.129999995232,STABILIZE,4,11
488,44.3799822,-73.2581266,58.89,0.070000000298,STABILIZE,4,11
488,44.3799823,-73.258125,58.9,0.0799999982119,STABILIZE,4,11
488,44.3799824,-73.2581235,58.89,0.0999999940395,STABILIZE,4,11
488,44.3799822,-73.2581233,58.88,0.159999996424,STABILIZE,4,11
488,44.3799821,-73.2581216,58.9,0.199999988079,STABILIZE,4,11
488,44.3799819,-73.2581205,58.91,0.119999997318,STABILIZE,4,11
488,44.3799818,-73.2581199,58.91,0.129999995232,STABILIZE,4,11
488,44.3799821,-73.2581187,58.91,0.0799999982119,STABILIZE,4,11
488,44.3799822,-73.2581181,58.91,0.159999996424,STABILIZE,4,11
488,44.3799824,-73.2581169,58.89,0.070000000298,STABILIZE,4,11
488,44.3799826,-73.2581157,58.88,0.140000000596,STABILIZE,4,10
488,44.3799827,-73.2581146,58.87,0.0499999970198,STABILIZE,4,11
488,44.3799834,-73.2581134,58.88,0.0599999986589,STABILIZE,4,11
488,44.3799832,-73.2581125,58.91,0.219999998808,STABILIZE,4,11
488,44.3799831,-73.258112,58.9,0.0799999982119,STABILIZE,4,11
488,44.3799828,-73.2581126,58.89,0.129999995232,STABILIZE,4,10
488,44.3799827,-73.258113,58.89,0.070000000298,STABILIZE,4,10
488,44.3799825,-73.2581137,58.89,0.189999997616,STABILIZE,4,11
488,44.3799823,-73.2581148,58.89,0.179999992251,STABILIZE,4,11
488,44.3799831,-73.2581142,58.89,0.0599999986589,STABILIZE,4,11
488,44.3799832,-73.2581148,58.89,0.119999997318,STABILIZE,4,11
488,44.3799834,-73.2581137,58.88,0.170000001788,STABILIZE,4,11
488,44.379984,-73.2581125,58.89,0.149999991059,STABILIZE,4,11
488,44.3799839,-73.258112,58.89,0.340000003576,STABILIZE,4,10
488,44.3799844,-73.2581107,58.88,0.209999993443,STABILIZE,4,10
488,44.3799848,-73.2581108,58.89,0.00999999977648,STABILIZE,4,10
488,44.3799856,-73.2581107,58.91,0.170000001788,STABILIZE,4,10
